epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,7011.35,1.2064,1.03081,1.0694,0.79811,0.69583,0.74075,0.56304,0.99278,0.74854,0.96543,0.000672675,6.72675e-05,6.72675e-05
41,7186.19,1.19087,1.02414,1.07083,0.80092,0.69618,0.74454,0.56251,1.00576,0.73854,0.97112,0.000657963,6.57963e-05,6.57963e-05
42,7361.35,1.17861,1.0081,1.06293,0.82025,0.70215,0.74512,0.56202,0.99169,0.73677,0.96549,0.000643101,6.43101e-05,6.43101e-05
43,7536.38,1.18874,1.00471,1.06514,0.79901,0.69303,0.73872,0.56087,0.97818,0.73741,0.96034,0.000628101,6.28101e-05,6.28101e-05
44,7711.48,1.1863,1.01874,1.06417,0.8098,0.69699,0.74413,0.56951,0.96704,0.72845,0.95676,0.000612981,6.12981e-05,6.12981e-05
45,7886.7,1.17518,0.99074,1.05749,0.82013,0.69457,0.74649,0.56597,0.9734,0.72826,0.95644,0.000597754,5.97754e-05,5.97754e-05
46,8061.66,1.16343,0.98151,1.05605,0.81644,0.70678,0.7517,0.57869,0.94751,0.70964,0.95208,0.000582435,5.82435e-05,5.82435e-05
47,8236.82,1.16576,0.96845,1.05273,0.81662,0.71422,0.75722,0.5816,0.95122,0.70213,0.95084,0.00056704,5.6704e-05,5.6704e-05
48,8412.06,1.15914,0.96856,1.05577,0.82708,0.7031,0.75098,0.57505,0.95563,0.71046,0.95079,0.000551584,5.51584e-05,5.51584e-05
49,8587.08,1.15757,0.97269,1.05453,0.81516,0.70981,0.75479,0.57201,0.97293,0.71315,0.95818,0.000536081,5.36081e-05,5.36081e-05
50,8762.42,1.15433,0.95547,1.05461,0.82684,0.71557,0.76002,0.58106,0.95182,0.69521,0.94958,0.000520548,5.20548e-05,5.20548e-05
51,8937.44,1.15056,0.95147,1.05313,0.81212,0.72675,0.76415,0.58774,0.93884,0.67485,0.94624,0.000505,5.05e-05,5.05e-05
52,9112.62,1.15923,0.94155,1.05286,0.80709,0.72331,0.7614,0.58592,0.94177,0.6868,0.94543,0.000489452,4.89452e-05,4.89452e-05
53,9287.39,1.15914,0.94789,1.0516,0.81991,0.72679,0.76812,0.59026,0.93174,0.67072,0.94459,0.000473919,4.73919e-05,4.73919e-05
54,9462.75,1.15304,0.92843,1.04427,0.82115,0.73179,0.76755,0.58861,0.93433,0.66974,0.94511,0.000458416,4.58416e-05,4.58416e-05
55,9637.65,1.14041,0.92465,1.04368,0.80398,0.7443,0.77092,0.59582,0.9122,0.66129,0.93706,0.00044296,4.4296e-05,4.4296e-05
56,9812.82,1.13593,0.90442,1.03878,0.83007,0.72362,0.76859,0.5945,0.9128,0.66556,0.93433,0.000427565,4.27565e-05,4.27565e-05
57,9987.84,1.12605,0.90668,1.04028,0.83452,0.7296,0.77359,0.59517,0.92207,0.66141,0.93973,0.000412246,4.12246e-05,4.12246e-05
58,10162.6,1.11745,0.89725,1.03423,0.83878,0.72571,0.77717,0.59863,0.91159,0.65672,0.93726,0.000397019,3.97019e-05,3.97019e-05
59,10339.2,1.12908,0.91697,1.04068,0.83814,0.72556,0.77592,0.59604,0.927,0.65385,0.93876,0.000381899,3.81899e-05,3.81899e-05
60,10514,1.11943,0.90185,1.0349,0.83898,0.72913,0.78171,0.60224,0.91045,0.64543,0.93253,0.000366899,3.66899e-05,3.66899e-05
61,10689.3,1.12806,0.89104,1.03777,0.84565,0.73233,0.78214,0.60417,0.90012,0.64016,0.92836,0.000352037,3.52037e-05,3.52037e-05
62,10864.5,1.12415,0.90031,1.03915,0.84636,0.73613,0.78225,0.6052,0.90337,0.63935,0.93046,0.000337325,3.37325e-05,3.37325e-05
63,11039.4,1.11704,0.87734,1.03204,0.85733,0.72901,0.78489,0.6086,0.89136,0.63502,0.92824,0.000322778,3.22778e-05,3.22778e-05
64,11214.3,1.12311,0.89561,1.03683,0.83486,0.7464,0.78701,0.61106,0.88851,0.6325,0.92814,0.000308412,3.08412e-05,3.08412e-05
65,11389.4,1.11312,0.87665,1.02995,0.83,0.74476,0.78777,0.61051,0.88563,0.62783,0.92775,0.000294239,2.94239e-05,2.94239e-05
66,11564.4,1.10485,0.87213,1.03167,0.83578,0.74691,0.7914,0.61504,0.88172,0.62202,0.92282,0.000280275,2.80275e-05,2.80275e-05
67,11740,1.09614,0.84209,1.02183,0.84004,0.74169,0.79017,0.61452,0.87776,0.62154,0.92071,0.000266532,2.66532e-05,2.66532e-05
68,11915,1.09908,0.84893,1.02394,0.84292,0.74619,0.79035,0.61547,0.87252,0.61837,0.92079,0.000253024,2.53024e-05,2.53024e-05
69,12090.3,1.10792,0.86732,1.02469,0.85049,0.74492,0.79271,0.61812,0.87134,0.61297,0.91785,0.000239766,2.39766e-05,2.39766e-05
70,12265.6,1.10106,0.86118,1.02278,0.84316,0.74414,0.79012,0.61557,0.88057,0.61897,0.91991,0.000226769,2.26769e-05,2.26769e-05
71,12440.8,1.09336,0.86418,1.02499,0.84605,0.74764,0.79196,0.61871,0.86976,0.61335,0.91565,0.000214046,2.14046e-05,2.14046e-05
72,12616.3,1.09149,0.84936,1.02258,0.84794,0.75174,0.79162,0.61905,0.87319,0.60997,0.91595,0.000201611,2.01611e-05,2.01611e-05
73,12791.7,1.09695,0.84252,1.02126,0.8429,0.75077,0.79327,0.61767,0.86876,0.60884,0.9156,0.000189475,1.89475e-05,1.89475e-05
74,12966.6,1.08983,0.8359,1.01746,0.83431,0.75715,0.79367,0.61889,0.86614,0.60779,0.91564,0.000177651,1.77651e-05,1.77651e-05
75,13141.7,1.09486,0.83688,1.0223,0.83619,0.75405,0.79349,0.62073,0.86875,0.60667,0.91648,0.000166149,1.66149e-05,1.66149e-05
76,13317.2,1.08243,0.82019,1.01725,0.84506,0.75613,0.79641,0.62292,0.86634,0.60349,0.91595,0.000154982,1.54982e-05,1.54982e-05
77,13492.7,1.08585,0.83058,1.0179,0.84448,0.7516,0.79671,0.62069,0.86489,0.60123,0.91613,0.000144161,1.44161e-05,1.44161e-05
78,13668,1.08886,0.83172,1.0164,0.8298,0.75898,0.79667,0.62228,0.86158,0.59791,0.91384,0.000133695,1.33695e-05,1.33695e-05
79,13843.2,1.0838,0.83696,1.0164,0.84372,0.7534,0.79615,0.62384,0.85691,0.5964,0.9125,0.000123596,1.23596e-05,1.23596e-05
80,14018.7,1.07234,0.80299,1.00813,0.83167,0.75497,0.79523,0.62468,0.85172,0.59642,0.91126,0.000113873,1.13873e-05,1.13873e-05
81,14193.1,1.0719,0.81502,1.01221,0.84379,0.74941,0.79427,0.62318,0.85558,0.60001,0.91211,0.000104537,1.04537e-05,1.04537e-05
82,14367.8,1.07881,0.83043,1.01742,0.84028,0.75559,0.7967,0.62403,0.85684,0.59845,0.9122,9.55951e-05,9.55951e-06,9.55951e-06
83,14542.7,1.06389,0.80727,1.01253,0.84361,0.75162,0.79736,0.62522,0.85349,0.59564,0.91178,8.70577e-05,8.70577e-06,8.70577e-06
84,14718,1.05327,0.79525,1.01027,0.84757,0.75241,0.79918,0.62669,0.85164,0.59209,0.91032,7.89327e-05,7.89327e-06,7.89327e-06
85,14893,1.07236,0.82156,1.01236,0.85838,0.74627,0.79858,0.62666,0.8506,0.59274,0.91001,7.12282e-05,7.12282e-06,7.12282e-06
86,15067.5,0.93805,0.56058,0.93749,0.8485,0.74542,0.7912,0.62121,0.85766,0.61136,0.91193,6.39518e-05,6.39518e-06,6.39518e-06
